Date and Time,Event ID,Task Category,LogSource,Keywords
2026-04-21 20:49:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 20:50:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 20:51:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 20:52:06,7000,Registry Value Read: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office365,REGISTRY,None
2026-04-21 20:53:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 20:54:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 20:55:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 20:56:06,7000,Registry Value Read: HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,REGISTRY,None
2026-04-21 20:57:06,7000,Registry Value Read: HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,REGISTRY,None
2026-04-21 20:58:06,7000,Registry Value Read: HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,REGISTRY,None
2026-04-21 20:59:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 21:00:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 21:01:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 21:02:06,7000,Registry Value Read: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office365,REGISTRY,None
2026-04-21 21:03:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 21:04:06,7000,Registry Value Read: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office365,REGISTRY,None
2026-04-21 21:05:06,7000,Registry Value Read: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office365,REGISTRY,None
2026-04-21 21:06:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 21:07:06,7000,Registry Value Read: HKLM\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,REGISTRY,None
2026-04-21 21:08:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 21:09:06,7000,Registry Value Read: HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,REGISTRY,None
2026-04-21 21:10:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 21:11:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
2026-04-21 21:12:06,7000,Registry Value Read: HKCU\Control Panel\Desktop\Wallpaper,REGISTRY,None
